state,column,ballotPosition,surname,ballotGivenName,groupName,partyBallotName
TAS,D,1,OWEN,Matt,Legalise Cannabis Party,Legalise Cannabis Party
TAS,D,2,HESTER,Gail,Legalise Cannabis Party,Legalise Cannabis Party
TAS,E,1,DAVIES,Casey,Animal Justice Party,Animal Justice Party
TAS,E,2,LUCAS,Kate Elizabeth,Animal Justice Party,Animal Justice Party
TAS,F,1,McKIM,Nick,The Greens,The Greens
TAS,F,2,BLEYER,Vanessa,The Greens,The Greens
TAS,F,3,JORDAN,Scott,The Greens,The Greens
TAS,F,4,HOARE,Trenton,The Greens,The Greens
TAS,G,1,LAMBIE,Jacqui,Jacqui Lambie Network,Jacqui Lambie Network
TAS,G,2,HANNAN,Christine,Jacqui Lambie Network,Jacqui Lambie Network
TAS,H,1,ABRAHAM,Chrysten,Libertarian,Libertarian
TAS,H,2,ARMSTRONG,Nicole,Libertarian,Libertarian
TAS,I,1,HANSON,Lee,Pauline Hanson's One Nation,Pauline Hanson's One Nation
TAS,I,2,DUNN,James,Pauline Hanson's One Nation,Pauline Hanson's One Nation
TAS,J,1,STAGGARD,Daryl,Citizens Party,Citizens Party
TAS,J,2,WILLIAMS,Ray,Citizens Party,Citizens Party
TAS,K,1,BROWN,Carol,Australian Labor Party,Australian Labor Party
TAS,K,2,DOWLING,Richard,Australian Labor Party,Australian Labor Party
TAS,K,3,FALLS,Bailey,Australian Labor Party,Australian Labor Party
TAS,K,4,O'DONNELL,Saxon,Australian Labor Party,Australian Labor Party
TAS,K,5,LUCKMAN,Greg,Australian Labor Party,Australian Labor Party
TAS,K,6,MEYERS,Amelia Louise,Australian Labor Party,Australian Labor Party
TAS,L,1,BIGG,Phillip,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
TAS,L,2,ROACH,Melanie,"Shooters, Fishers and Farmers Party","Shooters, Fishers and Farmers Party"
TAS,UG,1,EDWARDS,Fenella,,Independent
VIC,A,1,PATERSON,James,Liberal/The Nationals,Liberal
VIC,A,2,HUME,Jane,Liberal/The Nationals,Liberal
VIC,A,3,HOPPITT,Kyle,Liberal/The Nationals,Liberal
VIC,A,4,ARNOLD,Glenn,Liberal/The Nationals,The Nationals
VIC,A,5,MIRABELLA,Greg,Liberal/The Nationals,Liberal
VIC,A,6,KMETJ,Chrestyna,Liberal/The Nationals,Liberal
VIC,B,1,PATTEN,Fiona,Legalise Cannabis Party,Legalise Cannabis Party
VIC,B,2,DAVY,Alice,Legalise Cannabis Party,Legalise Cannabis Party
VIC,B,3,EVANS,Shea,Legalise Cannabis Party,Legalise Cannabis Party
VIC,C,1,JEGES,Helen,Animal Justice Party,Animal Justice Party
VIC,C,2,McMILLAN,Benjamin,Animal Justice Party,Animal Justice Party
VIC,D,1,AUSTIN-ABDULLAH,Racquel,Indigenous - Aboriginal Party of Australia,Indigenous - Aboriginal Party of Australia
VIC,D,2,AL-SAIMARY,Laylah,Indigenous - Aboriginal Party of Australia,Indigenous - Aboriginal Party of Australia
